split,model,seed,pipeline,CandidateRecall@50,CandidateRecall@100,CandidateRecall@200
test,GRU4Rec,42,ExactDenseRetriever,0.1211116484854998,0.1888996363766636,0.2809894853744604
test,GRU4Rec,42,HybridRRF,0.1501209092374657,0.2171941891916098,0.2992225983842943
test,GRU4Rec,42,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,GRU4Rec,43,ExactDenseRetriever,0.132801332688484,0.2034463610797642,0.2983377218908413
test,GRU4Rec,43,HybridRRF,0.1578017805004747,0.2274669962562917,0.3109857237537392
test,GRU4Rec,43,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,GRU4Rec,44,ExactDenseRetriever,0.1346982642807243,0.2055904848908234,0.3015422644956741
test,GRU4Rec,44,HybridRRF,0.1588568255503609,0.2285972737206011,0.3120031525964139
test,GRU4Rec,44,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataComiRecSA+LabelAware+DivReg,42,ExactDenseRetriever,0.0685725544987192,0.1130134164472388,0.1800347502104716
test,MetadataComiRecSA+LabelAware+DivReg,42,HybridRRF,0.1177405198201587,0.1707686245006896,0.2379923692836799
test,MetadataComiRecSA+LabelAware+DivReg,42,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataComiRecSA+LabelAware+DivReg,43,ExactDenseRetriever,0.0696741719956293,0.1141490676554355,0.179977430275673
test,MetadataComiRecSA+LabelAware+DivReg,43,HybridRRF,0.119051713328676,0.1724541888333602,0.2397818259981729
test,MetadataComiRecSA+LabelAware+DivReg,43,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataComiRecSA+LabelAware+DivReg,44,ExactDenseRetriever,0.0557776703029,0.0918695254984147,0.1452505060275493
test,MetadataComiRecSA+LabelAware+DivReg,44,HybridRRF,0.1109696025220771,0.159895749368585,0.220660253998961
test,MetadataComiRecSA+LabelAware+DivReg,44,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec,42,ExactDenseRetriever,0.1208949074820427,0.1909882315008866,0.2873914055922761
test,MetadataSASRec,42,HybridRRF,0.1502588353305748,0.218430150285704,0.3020348576853494
test,MetadataSASRec,42,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec,43,ExactDenseRetriever,0.1271947265659985,0.1991652784494957,0.2983216006591792
test,MetadataSASRec,43,HybridRRF,0.1535404015977931,0.2232987622476579,0.3088362261987927
test,MetadataSASRec,43,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec,44,ExactDenseRetriever,0.1216131979149873,0.191072420155122,0.2873269206656277
test,MetadataSASRec,44,HybridRRF,0.1500886667741415,0.21839074283053,0.3019417127913017
